target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label,pearson_p_bh,spearman_p_bh,kendall_p_bh
6gqj,boltz2,boltz2_affinity_pred_value,1089,0.3605885586097467,8.836039840527345e-35,0.3579439862891114,2.9134485897115917e-34,0.2677174607530774,5.24314587395114e-34,Boltz-2,5.4375629787860585e-34,2.3307588717692734e-33,4.194516699160912e-33
6gqj,dynamicbind,dynamicbind_affinity_bestpose,1089,0.0545728232705117,0.07183277162034751,0.17925764851492318,2.5687323092924117e-09,0.12767370104302936,6.718797514898607e-09,DynamicBind,0.08979096452543439,6.044076021864498e-09,1.5357251462625388e-08
6gqj,gnina,gnina_cnn_affinity_bestpose,1085,0.26280583096041343,1.3458750366604168e-18,0.3350068999348631,7.263782940020666e-30,0.24818596150582495,2.5973432060639655e-29,GNINA 1.3,4.68130447534058e-18,4.470020270781948e-29,1.8889768771374294e-28
6gqj,plapt,plapt_affinity,1089,0.08698668495448333,0.004069667365758726,0.13881141870822714,4.269924150607165e-06,0.09949451044822862,6.238004608717773e-06,PLAPT,0.0058138105225124664,8.331559318257883e-06,1.2171716309693216e-05
6gqj,qvina,qvina_affinity_bestpose,1085,0.036679174493986846,0.2273546320159779,0.008628629049930834,0.7764877847534558,0.009365930685763104,0.674832704380077,QVina2,0.2635995733518584,0.7963977279522624,0.7011248876676125
6jok,boltz2,boltz2_affinity_pred_value,249,0.8518773732046081,2.488693980373899e-71,0.7973858528844271,4.211231474408782e-56,0.6001876814138286,7.855130890832703e-45,Boltz-2,3.981910368598238e-70,4.211231474408782e-55,7.855130890832704e-44
6jok,dynamicbind,dynamicbind_affinity_bestpose,250,0.5602952864536721,4.58948221312895e-22,0.3242433954366493,1.5765359693221554e-07,0.2204424437217603,2.3348335705537634e-07,DynamicBind,1.83579288525158e-21,3.5034132651603454e-07,5.18851904567503e-07
6jok,gnina,gnina_cnn_affinity_bestpose,242,0.6243805884873553,1.4637464068733977e-27,0.565526786092749,7.41332435185231e-22,0.402367189398292,1.6972858356971805e-20,GNINA 1.3,6.888218385286578e-27,3.1213997270957093e-21,7.146466676619708e-20
6jok,plapt,plapt_affinity,250,0.30042909260872624,1.3073338439844012e-06,0.2622627416214091,2.672669970533845e-05,0.17662499076886942,3.431695136060248e-05,PLAPT,2.490159702827431e-06,4.751413280949058e-05,5.9681654540178236e-05
6jok,qvina,qvina_affinity_bestpose,242,0.4070369745548853,4.498939652690064e-11,0.2824483355641978,8.108137593508318e-06,0.18685058194627868,2.3591099928959325e-05,QVina2,1.090652037015773e-10,1.5084907150713151e-05,4.2892908961744226e-05
7awe,boltz2,boltz2_affinity_pred_value,83,0.6811638028338417,1.377044199947198e-12,0.6712635718582914,3.792758150221149e-12,0.49580957378043944,3.33849588677918e-11,Boltz-2,3.5536624514766396e-12,1.0462781104058342e-11,8.902655698077813e-11
7awe,dynamicbind,dynamicbind_affinity_bestpose,83,0.29281167772594147,0.007224042946482186,0.340905632375444,0.0016119355961400747,0.21643881749845992,0.003796558723731447,DynamicBind,0.009964197167561636,0.002433110333796339,0.005423655319616353
7awe,gnina,gnina_cnn_affinity_bestpose,59,0.37388645191837594,0.003533851456549561,0.3712720099760735,0.0037912226894554492,0.2352941277231281,0.008559739610577054,GNINA 1.3,0.005235335491184535,0.005416032413507785,0.012013669628880078
7awe,plapt,plapt_affinity,83,0.43302280371604934,4.336863440693824e-05,0.4292438722530412,5.1402134728791485e-05,0.2958389271786015,7.606798279545259e-05,PLAPT,7.381895218202254e-05,8.567022454798581e-05,0.00012170877247272414
7awe,qvina,qvina_affinity_bestpose,42,-0.2835330526056155,0.06882087373602082,-0.2895154601332162,0.06292785064354614,-0.18942487414734221,0.08056473164358859,QVina2,0.08739158569653437,0.0799083817695824,0.09915659279210902
7kk3,boltz2,boltz2_affinity_pred_value,1047,0.737409919941985,2.793133633954634e-180,0.7248448398310735,2.5874980423316106e-171,0.5385099360902865,4.5260200021086715e-149,Boltz-2,7.448356357212357e-179,6.899994779550962e-170,1.206938667228979e-147
7kk3,dynamicbind,dynamicbind_affinity_bestpose,1049,-0.03473982848103144,0.26094483467028406,-0.06209637192230088,0.04435326264121311,-0.04042290086430969,0.05072615361995889,DynamicBind,0.2899387051892045,0.058168213299951615,0.06545310144510824
7kk3,gnina,gnina_cnn_affinity_bestpose,588,0.2845857683000451,2.034887821040466e-12,0.2871556000012135,1.2623588143763982e-12,0.1937407894566481,2.554800219786124e-12,GNINA 1.3,5.087219552601165e-12,3.606739469646852e-12,7.299429199388925e-12
7kk3,plapt,plapt_affinity,1049,0.4510344863546688,1.0621386336778888e-53,0.46119121905464516,2.273277278890621e-56,0.31174434719676036,2.638936928156676e-51,PLAPT,1.0621386336778887e-52,2.5980311758749954e-55,3.015927917893344e-50
7kk3,qvina,qvina_affinity_bestpose,928,0.2428011065671541,6.430786835354137e-14,0.26365992272812505,3.188050494028444e-16,0.177242682353482,1.9096785679641395e-15,QVina2,1.7148764894277699e-13,1.1592910887376158e-15,6.642360236397007e-15
